week_num,n,mean,sd,se,lo,hi
0,257,0,0,0,0,0
1,210,-5.7125,40.717487842758246,2.809773602322848,-11.219656260552782,-0.20534373944721818
2,192,1.1264705882352946,43.71329357138841,3.15473522632578,-5.056810455363234,7.309751631833823
3,176,-3.653398058252428,36.651821813677486,2.7627350190666267,-9.068358695623015,1.7615625791181602
4,184,0.13142857142857076,39.78940551464411,2.9333138916597896,-5.617866656224617,5.880723799081759
5,176,-4.543877551020409,38.56647512239478,2.90705744244453,-10.241710138211687,1.1539550361708697
6,168,-4.546464646464647,42.757933535554315,3.2988461909962514,-11.0122031808173,1.9192738878880053
7,172,-6.448648648648648,49.91809630851661,3.806219160387027,-13.908838203007221,1.011540905709924
8,151,1.684000000000001,47.945144833771366,3.9017205519834817,-5.963372281887623,9.331372281887624
9,147,-4.464772727272728,41.403637021020785,3.4149144256451294,-11.158005001537182,2.2284595469917257
10,146,4.622352941176471,41.47965472737835,3.4328806509571375,-2.1060931346995178,11.35079901705246
11,144,0.15494505494505476,41.57883346056491,3.464902788380409,-6.636264410280547,6.946154520170656
12,141,-1.5962962962962954,51.24887668145626,4.315933994978952,-10.055526926455041,6.862934333862451
13,137,3.341463414634146,54.85530675616955,4.686605139353542,-5.844282658498797,12.52720948776709
14,146,-0.7537500000000001,49.35677898049177,4.084796092670056,-8.75995034163331,7.25245034163331
15,133,0.5550000000000002,56.784910413180285,4.923876193780264,-9.095797339809318,10.205797339809317
16,133,6.0287500000000005,53.321359611536394,4.623548250774396,-3.033404571517817,15.090904571517818
17,130,-0.8378048780487783,58.16363388091448,5.101288152729407,-10.836329657398416,9.160719901300858
18,127,-3.760975609756097,46.360761282476325,4.113852330549191,-11.824126177632511,4.302174958120318
19,120,-3.1535211267605647,60.556162434991855,5.5279960269320005,-13.988393339547285,7.681351086026156
20,132,1.5794871794871785,57.286201867543326,4.986123869853431,-8.193315605425546,11.352289964399905
21,123,-3.0790123456790113,68.65544172905994,6.1904527061772665,-15.212299649786454,9.054274958428431
22,119,3.3220779220779217,53.33424056530719,4.889141816635816,-6.260640038528278,12.904795882684121
23,127,-2.2036585365853654,46.40409051020712,4.11769717777668,-10.274345005027659,5.867027931856928
24,124,-1.6871794871794872,58.59550614162608,5.2620317889892485,-12.000761793598413,8.62640281923944
25,137,4.683870967741937,50.06703178548991,4.277515200508177,-3.700058825254091,13.067800760737965
26,115,-1.1500000000000001,48.56967821568626,4.529145847081226,-10.027125860279204,7.7271258602792035
27,117,-6.298630136986302,43.07093146179104,3.9819090222431472,-14.103171820582869,1.5059115466102666
28,114,6.572972972972975,45.89139441607014,4.298122888379067,-1.8513478882499967,14.997293834195947
29,115,-1.8528571428571434,53.69426796230936,5.007016304979731,-11.666609100617416,7.96089481490313
30,111,0.324637681159421,49.28793076760363,4.67820335821666,-8.844640900945231,9.493916263264074
31,121,1.8421052631578958,50.58313622320624,4.598466929382385,-7.17088991843158,10.855100444747372
32,106,-7.252777777777779,58.20618275136356,5.653484240818267,-18.33360688978158,3.828051334226024
33,108,3.0826086956521737,50.68915348799902,4.877566068548416,-6.477420798702721,12.64263819000707
34,120,-0.02162162162162116,46.32626188027774,4.228989772786635,-8.310441576283425,8.267198333040183
35,113,-4.5858974358974365,55.76744785350357,5.246160197228486,-14.868371422465268,5.696576550670395
36,114,-2.3236842105263147,49.65727571644408,4.650829987782172,-11.439310986579372,6.7919425655267425
37,110,0.9499999999999986,49.78794752055822,4.747094535617511,-8.354305289810322,10.25430528981032
38,108,-2.7360000000000015,49.98101434139362,4.809425347395692,-12.162473680895559,6.690473680895555
39,98,5.883606557377049,61.08473126275193,6.170489671835684,-6.2105531994208905,17.97776631417499
40,99,-2.217187499999998,57.24195806742513,5.753033247724439,-13.493132665539898,9.058757665539902
41,99,3.158730158730159,57.351310233143494,5.764023553897183,-8.13875600690832,14.456216324368636
42,96,4.919696969696971,50.07524559545586,5.110783352225736,-5.097438400665472,14.936832340059414
43,99,3.128169014084506,55.03661426229579,5.531387855744176,-7.713351183174078,13.96968921134309
44,97,7.103225806451613,53.193026067431724,5.400933502941943,-3.4826038593145956,17.689055472217824
45,102,4.002941176470589,58.97411769907667,5.839307773895797,-7.442102060365173,15.44798441330635
46,98,5.068831168831169,50.1965721720755,5.070619510742076,-4.8695830722233,15.007245409885638
47,98,-5.729850746268657,59.579849692419714,6.018473677083603,-17.52605915335252,6.066357660815204
48,84,0.02352941176470533,48.7809790360499,5.3224411644464915,-10.408455270550418,10.45551409407983
49,101,0.45256410256410295,51.89782850688075,5.16402694554865,-9.66892871071125,10.574056915839456
50,92,1.0086956521739125,43.22570973503138,4.5065917688006305,-7.824224214675324,9.841615519023149
51,80,-1.1145161290322563,52.71542172331498,5.8937633217950705,-12.666292239750595,10.437259981686081
52,51,4.46521739130435,54.37089179327607,7.613447692896644,-10.457140086773071,19.387574869381773
