week_num,n,mean,sd,se,lo,hi
0,257,0,0,0,0,0
1,210,-10.728387096774194,75.95262429298964,5.241229016626158,-21.00119596936146,-0.4555782241869242
2,192,-26.97536231884058,89.15739613943488,6.434380832668604,-39.586748750871045,-14.363975886810117
3,176,-27.437500000000004,77.90498842098486,5.872309452031563,-38.94722652598187,-15.92777347401814
4,184,-29.422641509433966,71.01968779083977,5.23564084669574,-39.68449756895762,-19.160785449910314
5,176,-21.004040404040403,72.12493542485267,5.436621564382926,-31.659818670230937,-10.348262137849868
6,168,-33.85,83.07793651357463,6.409601955991279,-46.41281983374291,-21.287180166257095
7,172,-30.906250000000004,80.58294734016017,6.1443921312809975,-42.94925857731076,-18.86324142268925
8,151,-23.4578431372549,64.39334790727862,5.240256334857934,-33.72874555357645,-13.18694072093335
9,147,-22.614606741573034,66.26262409835886,5.465249122914067,-33.32649502248461,-11.902718460661463
10,146,-25.075581395348838,60.41495906702054,4.999977588353722,-34.87553746852213,-15.275625322175543
11,144,-8.299999999999997,75.17046269339082,6.264205224449235,-20.577842239920496,3.977842239920502
12,141,-21.186585365853656,80.56370650286813,6.78468801996296,-34.48457388498106,-7.888596846726253
13,137,-15.53012048192771,83.01146370280955,7.092147969277228,-29.430730501711075,-1.629510462144344
14,146,-17.44938271604938,75.82783645116217,6.275556396695909,-29.749473253573363,-5.1492921785254
15,133,-11.082500000000005,67.5190920491326,5.854647784901961,-22.55760965840785,0.3926096584078387
16,133,-17.29125,74.46862085528781,6.457248356033186,-29.947456777825046,-4.635043222174957
17,130,-21.541463414634148,83.90125729457071,7.358627054014563,-35.96437244050269,-7.118554388765604
18,127,-30.102439024390243,61.11930041211701,5.4234609071651,-40.73242240243384,-19.472455646346646
19,120,-24.884507042253517,79.28340962807744,7.237551981536714,-39.07010892606547,-10.698905158441558
20,132,-17.318987341772157,75.38676357317841,6.5615755464526435,-30.179675412819336,-4.458299270724977
21,123,-18.454878048780486,86.05941839467305,7.759716434361654,-33.663922260129326,-3.2458338374316433
22,119,-6.992307692307693,73.44180091663142,6.732398851932114,-20.187809442094636,6.203194057479251
23,127,-26.137349397590356,69.61410480650153,6.177252904722471,-38.2447650908464,-14.029933704334312
24,124,-11.644303797468355,74.34675125562312,6.6765353569878485,-24.73031309716454,1.441705502227828
25,137,-31.170212765957448,71.2504470158205,6.087336502370857,-43.101392310604325,-19.239033221310567
26,115,-20.524096385542173,77.33513792982296,7.211538796548778,-34.658712426777775,-6.389480344306568
27,117,-29.063513513513517,64.74895371096122,5.9860428881414105,-40.79615757427068,-17.330869452756353
28,114,-23.604000000000003,61.974461697562994,5.804440150635064,-34.98070269524473,-12.227297304755277
29,115,-23.35774647887324,63.976852202232,5.965872229466125,-35.05085604862684,-11.664636909119633
30,111,-26.347826086956523,75.83170920007412,7.197627311882869,-40.45517561824695,-12.2404765556661
31,121,-13.76493506493507,81.36152227498957,7.396502024999052,-28.26207903393321,0.7322089040630715
32,106,-30.994520547945207,70.93896807665602,6.890201678306928,-44.499315837426785,-17.48972525846363
33,108,-23.401428571428575,64.05065136248493,6.16327680098359,-35.48145110135641,-11.321406041500738
34,120,-17.685333333333336,75.0735957709632,6.85325031279683,-31.117703946415123,-4.252962720251549
35,113,-19.154430379746838,63.79725256818115,6.001540683642705,-30.917450119686542,-7.391410639807136
36,114,-27.183116883116888,62.20521725157067,5.826052388417791,-38.602179564415756,-15.764054201818018
37,110,-16.93287671232877,80.31948022808407,7.65816195851292,-31.942874151014095,-1.9228792736434475
38,108,-13.802631578947368,71.47654528805788,6.877833777134115,-27.283185782130232,-0.32207737576450235
39,98,-16.619354838709683,83.1778517941233,8.402231864022031,-33.08772929219286,-0.15098038522650015
40,99,-19.064615384615383,92.8395481307152,9.330725662294647,-37.35283768271289,-0.7763930865178743
41,99,-19.163076923076922,84.49412991672627,8.49197957337346,-35.8073568868889,-2.518796959264943
42,96,-9.085294117647054,75.02221614187079,7.656922871682295,-24.09286294614435,5.922274710850244
43,99,-12.697222222222221,85.61085552501254,8.604214719933065,-29.56148307329103,4.167038628846585
44,97,-32.92857142857143,102.72663603541233,10.430309595563296,-53.37197823587549,-12.485164621267373
45,102,-20.156521739130437,87.31730419139838,8.645701420445997,-37.102096523204594,-3.210946955056283
46,98,-20.569620253164558,91.63099681908449,9.256128459665373,-38.71163203410869,-2.4276084722204274
47,98,-32.813043478260866,100.06736835611632,10.108330677157428,-52.62537160548942,-13.000715351032309
48,84,-9.104347826086958,88.99359103623303,9.709996840225747,-28.13594163292942,9.927245980755504
49,101,-9.640506329113931,83.83529413874618,8.341923552024596,-25.99067649108214,6.709663832854277
50,92,-14.000000000000005,87.74770817437384,9.148330977415377,-31.93072871573414,3.9307287157341317
51,80,-6.258730158730163,88.43157120315271,9.886950228368116,-25.63715260633167,13.119692288871345
52,51,-18.7468085106383,99.72315123263445,13.96403425875713,-46.116315657802275,8.622698636525673
