week_num,n,mean,sd,se,lo,hi
0,247,0,0,0,0,0
1,200,0.027896551724137898,0.42921968481798345,0.03035041497535487,-0.03159026162755764,0.08738336507583344
2,174,-0.05968461538461539,0.5685004623836916,0.04309790883067785,-0.14415651669274399,0.02478728592351319
3,163,-0.01795959595959597,0.5166948714547012,0.0404706657522079,-0.09728210083392345,0.06136290891473152
4,162,0.02747959183673469,0.431201443812777,0.03387838499749385,-0.038922042758353245,0.09388122643182263
5,161,0.020344086021505385,0.45475481914466487,0.03583970052552906,-0.049901727008531564,0.09058989905154233
6,151,-0.035430107526881735,0.4689793125559198,0.03816499519604398,-0.11023349811112794,0.03937328305736447
7,156,-0.0593009708737864,0.51129792234196,0.040936596174497436,-0.13953669937580138,0.02093475762822858
8,135,0.07443529411764703,0.3313613854798335,0.028519047278658033,0.018537961451477285,0.13033262678381677
9,129,-0.0032999999999999904,0.37480821762602806,0.03300002349071281,-0.06798004604179708,0.06138004604179711
10,132,0.038564102564102566,0.41440969093566327,0.03606973380170273,-0.032132575687234786,0.10926078081543991
11,135,0.06833333333333334,0.4033941638219652,0.03471864174310528,2.847955168470001e-4,0.1363818711498197
12,125,0.02202597402597402,0.4793624596665092,0.04287548182703263,-0.062009970355009936,0.10606191840695797
13,120,0.08742105263157894,0.5221340635803005,0.047664100777461194,-0.006000584892245003,0.18084269015540289
14,135,0.08753947368421051,0.43978108010810635,0.0378503288719068,0.013352829095273189,0.16172611827314784
15,122,0.10205333333333332,0.4125344176741691,0.03734911127234684,0.02884907523953352,0.1752575914271331
16,118,0.0815753424657534,0.41260789557965655,0.037983635581507365,0.007127416725998967,0.15602326820550783
17,119,0.06344303797468356,0.48190829925745887,0.044176461363473404,-0.02314282629772431,0.15002890224709142
18,115,0.03256756756756757,0.385208219128841,0.03592085165113327,-0.037837301668653636,0.10297243680378877
19,104,0.05456451612903222,0.48690914158893833,0.04774536950593671,-0.039016408102603733,0.14814544036066818
20,114,0.046328571428571434,0.4567480744564434,0.0427783766003164,-0.03751704670804871,0.13017418956519158
21,105,-0.020084507042253542,0.4948254453117461,0.048290018817652346,-0.11473294392485214,0.07456392984034504
22,104,0.0709242424242424,0.34271860224729606,0.03360632385635013,0.0050558476657961565,0.13679263718268864
23,111,-8.055555555555732e-4,0.27699090537207527,0.026290813258462907,-0.05233554954214287,0.05072443843103172
24,114,0.06785135135135135,0.505642238634491,0.04735773464414693,-0.024969808551176628,0.16067251125387932
25,124,0.04248192771084338,0.5352718561957681,0.04806883169923668,-0.05173298241966052,0.13669683784134729
26,102,0.10580555555555553,0.43126602485479104,0.042701699487928874,0.022110224559214936,0.18950088655189612
27,104,7.205882352941231e-4,0.3574020206237193,0.03504615148765069,-0.06796986868050123,0.06941104515108948
28,105,0.09788571428571427,0.42392313846874713,0.041370662175622144,0.016799216421494872,0.17897221214993367
29,107,0.11991176470588233,0.4220677152749738,0.04080282612044529,0.03993822550980955,0.1998853039019551
30,105,0.09447692307692306,0.45839690456566634,0.044734957260501564,0.006796406846339989,0.1821574393075061
31,110,0.11762857142857143,0.4480912553095476,0.0427238248505749,0.03388987472144463,0.20136726813569822
32,97,0.07216923076923075,0.4657542461303617,0.04729017877031625,-0.020519519620589094,0.1648579811590506
33,98,0.10372307692307693,0.47081384019098743,0.047559379867932385,0.010506692381929458,0.19693946146422442
34,109,0.09571641791044776,0.3951401671509303,0.03784756384438404,0.021535192775455028,0.16989764304544047
35,98,0.08297101449275361,0.40198990223689235,0.04060711226288912,0.003381074457490932,0.16256095452801628
36,100,0.015774193548387095,0.43436489983463833,0.04343648998346383,-0.06936132681920201,0.1009097139159762
37,98,-0.006803278688524618,0.4504598324553897,0.04550331459733744,-0.095989775299306,0.08238321792225675
38,100,0.02796874999999998,0.41128968544949296,0.041128968544949296,-0.052644028348100634,0.10858152834810059
39,87,0.11415094339622639,0.5131432322246285,0.05501472914352057,0.006322074274926079,0.2219798125175267
40,93,0.07455,0.5998443420969832,0.062200960711192375,-0.047363882993937054,0.19646388299393708
41,94,0.135968253968254,0.5359214545318627,0.05527607745300791,0.027627142160358484,0.24430936577614948
42,93,0.14356060606060606,0.4615636343756824,0.04786191928917982,0.04975124425381361,0.2373699678673985
43,92,0.13046153846153846,0.48508717247918043,0.05057383376804974,0.03133682427616097,0.22958625264691596
44,91,0.07644067796610168,0.586980387124219,0.06153226392754803,-0.04416255933189245,0.19704391526409581
45,96,0.12995588235294117,0.5149145541005643,0.052553246611629426,0.026951518994147494,0.23296024571173485
46,93,0.12224675324675326,0.47521654775381794,0.04927766045572636,0.0256625387535296,0.2188309677399769
47,94,0.028514705882352935,0.5038309504647177,0.05196619468320715,-0.07333903569673308,0.13036844746143894
48,74,0.08333898305084744,0.4815847263218947,0.05598308729000869,-0.026387868037569595,0.19306583413926448
49,95,0.09974999999999999,0.4648356895827376,0.04769113547884634,0.006275374461461161,0.1932246255385388
50,82,0.15524615384615384,0.5343392540900758,0.05900789927086225,0.03959067127526383,0.27090163641704385
51,72,0.08160344827586204,0.46546147407443933,0.05485516078318708,-0.025912666859184627,0.1891195634109087
52,47,0.08456818181818178,0.5198482514594567,0.075827660779329,-0.06405403330930305,0.23319039694566662
