visit,n,mean,sd,se,lo,hi
V1,133,0,0,0,0,0
V2,135,4.0644355124309834,16.77926816966564,1.4441294707258499,1.2339417498083178,6.894929275053649
V3,104,-0.31751194739063177,11.886062627201978,1.165524332228631,-2.6019396385587488,1.9669157437774851
V4,65,4.644323253510471,20.559402617035182,2.5500800469166367,-0.3538336384461367,9.64248014546708
V5,32,5.3153106584275625,13.43739955736593,2.37541908713164,0.6594892476495477,9.971132069205577
NA,119,NA,NA,NA,NA,NA
