measure,popn,tscale,visit,n,mean,sd,se,lo,hi,week_num
FVC (L),all,weekly,NA,106,0.0074246575342466065,0.5235827409357415,0.05085485140451517,-0.09225085121860313,0.10710016628709634,32
FVC (L),all,weekly,NA,108,0.11732857142857145,0.5578458496085329,0.05367874190630032,0.01211823729222282,0.22253890556492006,33
FVC (L),all,weekly,NA,120,0.09183999999999999,0.5099436121450759,0.046551269904587245,5.995109870089999e-4,0.18308048901299098,34
FVC (L),all,weekly,NA,113,0.0791392405063291,0.5307986902718276,0.04993334048493897,-0.018730106844151273,0.17700858785680948,35
FVC (L),all,weekly,NA,114,0.05228571428571432,0.487145305706809,0.04562533815036241,-0.03713994848899601,0.14171137706042464,36
FVC (L),all,weekly,NA,110,0.06249315068493152,0.5587605112928196,0.05327572438654428,-0.041927269112695266,0.1669135704825583,37
FVC (L),all,weekly,NA,108,0.06968421052631579,0.5015286554930852,0.04825961737587397,-0.024904639530397177,0.16427306058302876,38
FVC (L),all,weekly,NA,98,0.10370967741935484,0.5264896862625875,0.05318348962586479,-5.299622473401433e-4,0.20794931708604983,39
FVC (L),all,weekly,NA,99,0.11135384615384611,0.6148664344486032,0.06179640179544457,-0.009767101365225253,0.23247479367291746,40
FVC (L),all,weekly,NA,99,0.17563076923076923,0.5759425852795238,0.057884407762407504,0.062177330016450524,0.2890842084450879,41
FVC (L),all,weekly,NA,96,0.1348088235294118,0.4941619849641106,0.05043519639345684,0.03595583859823638,0.2336618084605872,42
FVC (L),all,weekly,NA,99,0.2058333333333333,0.5314295628601124,0.05341068068210855,0.10114839919640055,0.31051826747026606,43
FVC (L),all,weekly,NA,97,0.11774603174603172,0.569480435763925,0.057821977657152364,0.004414955538013091,0.23107710795405034,44
FVC (L),all,weekly,NA,102,0.15102898550724636,0.6289591535183695,0.06227623604889025,0.028967562851421463,0.2730904081630713,45
FVC (L),all,weekly,NA,98,0.11778481012658229,0.583406610874837,0.05893296724837981,0.0022761943197578544,0.23329342593340674,46
FVC (L),all,weekly,NA,98,0.05679710144927537,0.6166491179733878,0.062290967561669415,-0.06529319497159668,0.1788873978701474,47
FVC (L),all,weekly,NA,84,0.19381159420289854,0.5919546454049827,0.06458754691783515,0.06722000224394165,0.3204031861618554,48
FVC (L),all,weekly,NA,101,0.13754430379746832,0.5602722734955804,0.05574917487716049,0.02827592103823376,0.24681268655670288,49
FVC (L),all,weekly,NA,92,0.16525714285714288,0.5989779867168981,0.06244777196668016,0.04285950980244978,0.28765477591183597,50
FVC (L),all,weekly,NA,80,0.11285714285714282,0.5687086066367141,0.06358355519144403,-0.011766625318087462,0.23748091103237312,51
FVC (L),all,weekly,NA,51,0.1324893617021276,0.5948588021115463,0.08329689334055572,-0.030772549245361602,0.2957512726496168,52
FVC (L),stable,visit,V1,133,0,0,0,0,0,NA
FVC (L),stable,visit,V2,135,0.1525090390104662,0.5982137606990054,0.051486042947985713,0.0515963948324142,0.2534216831885182,NA
FVC (L),stable,visit,V3,104,-0.00904805302402653,0.4126490174704654,0.04046356523743833,-0.08835664088940566,0.0702605348413526,NA
FVC (L),stable,visit,V4,65,0.17199617590822183,0.6814706375702521,0.08452602966136488,0.006325157771946671,0.33766719404449697,NA
FVC (L),stable,visit,V5,32,0.17754999999999996,0.49207802922108324,0.086987927833785,0.007053661445781345,0.34804633855421857,NA
FVC (L),stable,visit,NA,119,NA,NA,NA,NA,NA,NA
FVC (L),stable,weekly,NA,247,0,0,0,0,0,0
FVC (L),stable,weekly,NA,200,0.009496551724137926,0.5374173983576186,0.038001148670630425,-0.06498569967029771,0.08397880311857356,1
FVC (L),stable,weekly,NA,174,-0.09789230769230768,0.6546214746967657,0.04962672592523547,-0.1951606905057692,-6.239248788461604e-4,2
FVC (L),stable,weekly,NA,163,-0.028141414141414148,0.6311792819163418,0.049437776837686964,-0.1250394567432806,0.0687566284604523,3
FVC (L),stable,weekly,NA,162,0.04842857142857144,0.593461087061039,0.0466267065590223,-0.04295977342711226,0.13981691628425513,4
FVC (L),stable,weekly,NA,161,-0.00741935483870967,0.6004991460476251,0.04732596259378269,-0.10017824152252375,0.0853395318451044,5
FVC (L),stable,weekly,NA,151,-0.05925806451612904,0.6251856403123275,0.05087688586756294,-0.1589767608165524,0.04046063178429432,6
FVC (L),stable,weekly,NA,156,-0.04998058252427185,0.6399651029178064,0.05123821521495546,-0.15040748434558454,0.05044631929704085,7
FVC (L),stable,weekly,NA,135,0.030129411764705873,0.4610899557992297,0.03968430488697623,-0.047651825813767534,0.10791064934317929,8
FVC (L),stable,weekly,NA,129,0.00526249999999997,0.40751499914152417,0.03587969503354407,-0.06506170226574641,0.07558670226574636,9
FVC (L),stable,weekly,NA,132,0.012166666666666636,0.46198887985342796,0.04021097064124163,-0.06664683579016696,0.09098016912350022,10
FVC (L),stable,weekly,NA,135,0.03458333333333331,0.5545710207613386,0.04772987394884249,-0.05896721960639796,0.1281338862730646,11
FVC (L),stable,weekly,NA,125,0.08506493506493505,0.5189644379273203,0.04641759044441832,-0.005913542206124861,0.17604341233599496,12
FVC (L),stable,weekly,NA,120,0.10109210526315789,0.540510084460511,0.0493415943030074,0.004382580429263386,0.19780163009705237,13
FVC (L),stable,weekly,NA,135,0.11480263157894736,0.45255385004768484,0.038949633877705156,0.03846134917864526,0.19114391397924946,14
FVC (L),stable,weekly,NA,122,0.09385333333333333,0.5077793118565875,0.045972178823892824,0.0037478628385033963,0.18395880382816326,15
FVC (L),stable,weekly,NA,118,0.07445205479452052,0.44006489550140626,0.04051125730266727,-0.004950009518707318,0.15385411910774838,16
FVC (L),stable,weekly,NA,119,0.03850632911392409,0.5158541304804951,0.04728827060972647,-0.05417868128113979,0.13119133950898798,17
FVC (L),stable,weekly,NA,115,0.06770270270270268,0.4309393921639361,0.04018530552530286,-0.011060496126890931,0.14646590153229627,18
FVC (L),stable,weekly,NA,104,0.06654838709677417,0.466764295395837,0.04577000481676462,-0.02316082234408448,0.15625759653763283,19
FVC (L),stable,weekly,NA,114,0.013957142857142852,0.5012857218675195,0.04694970946496061,-0.07806428769417995,0.10597857340846564,20
FVC (L),stable,weekly,NA,105,-0.011535211267605639,0.49927189360353014,0.048723947738883736,-0.10703414883581776,0.08396372630060649,21
FVC (L),stable,weekly,NA,104,0.1169848484848485,0.5338879309778625,0.052352018810149975,0.014374891616954544,0.21959480535274245,22
FVC (L),stable,weekly,NA,111,-0.013486111111111069,0.39342576274349056,0.03734232084430097,-0.08667705996594097,0.059704837743718826,23
FVC (L),stable,weekly,NA,114,0.09290540540540541,0.5122935045117222,0.04798068276911415,-0.0011367328220583256,0.18694754363286914,24
FVC (L),stable,weekly,NA,124,-0.0035542168674698735,0.5106725898028046,0.04585975236416403,-0.09343933150123136,0.08633089776629162,25
FVC (L),stable,weekly,NA,102,0.1313472222222222,0.46360923807229953,0.045904154797857546,0.04137507881842141,0.221319365626023,26
FVC (L),stable,weekly,NA,104,0.016808823529411772,0.45628644634156423,0.044742567186221986,-0.07088660815558331,0.10450425521440687,27
FVC (L),stable,weekly,NA,105,0.10387142857142857,0.4715007468120347,0.04601376132091525,0.013684456382434679,0.19405840076042247,28
FVC (L),stable,weekly,NA,107,0.11607352941176471,0.5983635723053202,0.05784598990632663,0.0026953891953645226,0.2294516696281649,29
FVC (L),stable,weekly,NA,105,0.08475384615384615,0.5657722606858155,0.05521371904755439,-0.023465043179360462,0.19297273548705277,30
FVC (L),stable,weekly,NA,110,0.14324285714285714,0.633145779301095,0.06036808141023403,0.02492141757879844,0.26156429670691583,31
FVC (L),stable,weekly,NA,97,0.038984615384615395,0.5382157006113956,0.054647524763048454,-0.06812453315095957,0.14609376392019036,32
FVC (L),stable,weekly,NA,98,0.13243076923076924,0.5705437091393275,0.05763361795653481,0.01946887803596102,0.24539266042557745,33
FVC (L),stable,weekly,NA,109,0.12113432835820895,0.49900297246708003,0.047795816343245576,0.02745452832544762,0.21481412839097028,34
FVC (L),stable,weekly,NA,98,0.10204347826086957,0.549757739018973,0.05553391789572857,-0.006803000814758431,0.21088995733649757,35
FVC (L),stable,weekly,NA,100,0.052500000000000026,0.5066970107033765,0.05066970107033765,-0.04681261409786177,0.15181261409786181,36
FVC (L),stable,weekly,NA,98,-0.009442622950819659,0.49936715032095585,0.05044369975624999,-0.10831227447306963,0.08942702857143031,37
FVC (L),stable,weekly,NA,100,0.022296875000000004,0.47380605769401013,0.047380605769401014,-0.07056911230802598,0.115162862308026,38
FVC (L),stable,weekly,NA,87,0.1068867924528302,0.5238400247718528,0.056161545680764424,-0.0031898370814680693,0.21696342198712848,39
FVC (L),stable,weekly,NA,93,0.1420333333333333,0.6113185517808309,0.06339078082892818,0.01778740290863405,0.2662792637580325,40
FVC (L),stable,weekly,NA,94,0.18969841269841267,0.5765542985625796,0.05946703531592802,0.07314302347919376,0.3062538019176316,41
FVC (L),stable,weekly,NA,93,0.14615151515151517,0.4956568056605992,0.05139721646344274,0.04541297088316741,0.24689005941986292,42
FVC (L),stable,weekly,NA,92,0.18896923076923075,0.5415083381522962,0.05645614691842317,0.07831518280912134,0.29962327872934014,43
FVC (L),stable,weekly,NA,91,0.11535593220338981,0.5718477541152156,0.05994593295524645,-0.002138096388893229,0.23284996079567286,44
FVC (L),stable,weekly,NA,96,0.15170588235294116,0.6336101739257308,0.06466756758142264,0.0249574498933528,0.2784543148125295,45
FVC (L),stable,weekly,NA,93,0.11311688311688313,0.5893344813392649,0.06111113891878269,-0.006660949163930938,0.23289471539769718,46
FVC (L),stable,weekly,NA,94,0.052455882352941186,0.6201707861506637,0.06396573251448132,-0.07291695337544218,0.17782871808132455,47
FVC (L),stable,weekly,NA,74,0.11437288135593221,0.5510190840397793,0.06405466742240645,-0.011174266791984439,0.23992002950384886,48
FVC (L),stable,weekly,NA,95,0.11695833333333329,0.5531323209112081,0.0567501787093518,0.005727983063003761,0.22818868360366282,49
FVC (L),stable,weekly,NA,82,0.15960000000000002,0.6083209422254012,0.0671778099932396,0.02793149241325038,0.29126850758674966,50
FVC (L),stable,weekly,NA,72,0.1057413793103448,0.5749383051675556,0.06775712905797988,-0.027062593643295774,0.23854535226398538,51
FVC (L),stable,weekly,NA,47,0.1023863636363636,0.5972817579789093,0.08712249854944111,-0.06837373352054098,0.27314646079326815,52
FVC % predicted,all,visit,V1,133,0,0,0,0,0,NA
FVC % predicted,all,visit,V2,136,3.6903115204770565,16.591853743262686,1.4227397209304948,0.9017416674532868,6.478881373500826,NA
FVC % predicted,all,visit,V3,104,-0.25551481889019817,12.288981514107926,1.2050337796657178,-2.617381027035005,2.1063513892546086,NA
FVC % predicted,all,visit,V4,65,4.2699389031886845,20.980297676243683,2.602285653875472,-0.8305409784072406,9.37041878478461,NA
FVC % predicted,all,visit,V5,36,5.3220952321986745,13.801509948590287,2.300251658098381,0.8136019823258476,9.830588482071501,NA
FVC % predicted,all,visit,NA,122,NA,NA,NA,NA,NA,NA
FVC % predicted,all,weekly,NA,257,0,0,0,0,0,0
FVC % predicted,all,weekly,NA,210,0.97786446772498,17.034454956325586,1.1754890687528954,-1.3260941070306949,3.2818230424806547,1
FVC % predicted,all,weekly,NA,192,-3.122848113331608,17.716932066539893,1.27860943722889,-5.628922610300233,-0.6167736163629836,2
FVC % predicted,all,weekly,NA,176,-0.4706184687785656,18.496303039028785,1.394211299753836,-3.2032726162960845,2.262035678738953,3
FVC % predicted,all,weekly,NA,184,0.42438601320776415,15.481505640697247,1.141311737943738,-1.8125849931619624,2.6613570195774905,4
FVC % predicted,all,weekly,NA,176,-0.18737112027908634,15.898954951148458,1.1984288211755159,-2.5362916097830976,2.161549369224925,5
FVC % predicted,all,weekly,NA,168,-1.7031580656589627,16.42447826258968,1.2671760086485733,-4.1868230426101665,0.7805069112922409,6
FVC % predicted,all,weekly,NA,172,-1.7488276355168033,18.00162960435761,1.3726113891608138,-4.4391459582719985,0.9414906872383917,7
FVC % predicted,all,weekly,NA,151,0.5174451616868834,12.923694708893356,1.0517153598779312,-1.5439169436738616,2.5788072670476283,8
FVC % predicted,all,weekly,NA,147,0.06815522668745763,11.980324586981505,0.9881205178961234,-1.8685609883889442,2.0048714417638593,9
FVC % predicted,all,weekly,NA,146,0.38383348007796453,13.989759319609472,1.1578007193038655,-1.8854559297576117,2.653122889913541,10
FVC % predicted,all,weekly,NA,144,0.9957022275182661,15.581246236169086,1.2984371863474238,-1.5492346577226845,3.5406391127592167,11
FVC % predicted,all,weekly,NA,141,1.8958578459601207,14.92285260876246,1.256730899226182,-0.5673347165231959,4.359050408443437,12
FVC % predicted,all,weekly,NA,137,2.071379894090483,14.634111593790072,1.250276530403618,-0.3791621055006087,4.521921893681574,13
FVC % predicted,all,weekly,NA,146,3.1694424463780235,12.899319234959359,1.0675552557814156,1.077034145046449,5.261850747709598,14
FVC % predicted,all,weekly,NA,133,2.733969528898402,13.914611189711758,1.206549808465094,0.36913190430681775,5.098807153489986,15
FVC % predicted,all,weekly,NA,133,1.5183410902980026,12.802472488261555,1.1101151529129862,-0.6574846094114506,3.694166790007456,16
FVC % predicted,all,weekly,NA,130,1.2019782432423884,15.381345326506477,1.3490332266343201,-1.442126880960879,3.846083367445656,17
FVC % predicted,all,weekly,NA,127,1.0290812037895356,12.454918415240064,1.1051952930009898,-1.1371015704924043,3.1952639780714756,18
FVC % predicted,all,weekly,NA,120,0.9364731678964135,14.185756137222624,1.2949764386040303,-1.6016806517674858,3.474626987560313,19
FVC % predicted,all,weekly,NA,132,0.04004351245121609,14.070900812116639,1.2247147152791948,-2.360397329496006,2.440484354398438,20
FVC % predicted,all,weekly,NA,123,0.9082399736171963,14.698352166094399,1.3253057827815597,-1.6893593606346609,3.5058393078690533,21
FVC % predicted,all,weekly,NA,119,4.552784265444246,16.922814283185804,1.5513118418883975,1.5122130553429871,7.593355475545505,22
FVC % predicted,all,weekly,NA,127,0.26221499388105246,12.141331089040271,1.0773689174836119,-1.8494280843868267,2.3738580721489315,23
FVC % predicted,all,weekly,NA,124,2.548420201874185,15.642961636865374,1.4047794246912295,-0.2049474705206249,5.301787874268995,24
FVC % predicted,all,weekly,NA,137,-1.6406087681564447,16.245773582103112,1.3879701065402448,-4.361030176975325,1.0798126406624349,25
FVC % predicted,all,weekly,NA,115,2.744494272015958,15.901835019647686,1.4828537615665673,-0.16189910065451363,5.65088764468643,26
