visit,n,mean,sd,se,lo,hi
V1,133,0,0,0,0,0
V2,136,3.9642786295208583,17.56106948295262,1.5058492849578318,1.0128140310035083,6.915743228038208
V3,104,-0.8841039779594415,14.676518432114099,1.4391510360952688,-3.7048400087061686,1.9366320527872856
V4,65,8.277927507982586,24.025908978410055,2.9800472434015717,2.4370349109155054,14.118820105049666
V5,36,5.709586409882683,13.288457053844393,2.2147428423073987,1.368690438960182,10.050482380805185
NA,122,NA,NA,NA,NA,NA
