data,name,type,tmpt,visit,n,mean,sd,se,cv,nm
Clinic,fef2575,Irrespective of disease status,same_day,V1,133,103.58,68.7,5.96,0.66,FEF25-75 (%)
Clinic,fef2575,Irrespective of disease status,same_day,V2,141,102.41,66.7,5.62,0.65,FEF25-75 (%)
Clinic,fef2575,Irrespective of disease status,same_day,V3,108,97.31,59.1,5.69,0.61,FEF25-75 (%)
Clinic,fef2575,Irrespective of disease status,same_day,V4,69,85.83,62.7,7.55,0.73,FEF25-75 (%)
Clinic,fef2575,Irrespective of disease status,same_day,V5,44,98.81,60.67,9.15,0.61,FEF25-75 (%)
Home,fef2575,Irrespective of disease status,same_day,V1,133,112.53,68.62,5.95,0.61,FEF25-75 (%)
Home,fef2575,Irrespective of disease status,same_day,V2,141,115.76,69.1,5.82,0.6,FEF25-75 (%)
Home,fef2575,Irrespective of disease status,same_day,V3,108,114.99,61.63,5.93,0.54,FEF25-75 (%)
Home,fef2575,Irrespective of disease status,same_day,V4,69,104.21,67.18,8.09,0.64,FEF25-75 (%)
Home,fef2575,Irrespective of disease status,same_day,V5,44,117.33,64.55,9.73,0.55,FEF25-75 (%)
Clinic,fev1,Irrespective of disease status,same_day,V1,133,2.25,0.83,0.07,0.37,FEV1 (L/sec)
Clinic,fev1,Irrespective of disease status,same_day,V2,141,2.32,0.85,0.07,0.37,FEV1 (L/sec)
Clinic,fev1,Irrespective of disease status,same_day,V3,108,2.25,0.78,0.07,0.34,FEV1 (L/sec)
Clinic,fev1,Irrespective of disease status,same_day,V4,69,2.17,0.9,0.11,0.41,FEV1 (L/sec)
Clinic,fev1,Irrespective of disease status,same_day,V5,44,2.27,0.8,0.12,0.35,FEV1 (L/sec)
Home,fev1,Irrespective of disease status,same_day,V1,133,2.22,0.86,0.07,0.39,FEV1 (L/sec)
Home,fev1,Irrespective of disease status,same_day,V2,141,2.33,0.89,0.07,0.38,FEV1 (L/sec)
Home,fev1,Irrespective of disease status,same_day,V3,108,2.26,0.79,0.08,0.35,FEV1 (L/sec)
Home,fev1,Irrespective of disease status,same_day,V4,69,2.2,0.95,0.11,0.43,FEV1 (L/sec)
Home,fev1,Irrespective of disease status,same_day,V5,44,2.28,0.85,0.13,0.37,FEV1 (L/sec)
Clinic,fev1_fvc,Irrespective of disease status,same_day,V1,133,70.62,10.93,0.95,0.15,FEV1/FVC
Clinic,fev1_fvc,Irrespective of disease status,same_day,V2,141,69.53,10.46,0.88,0.15,FEV1/FVC
Clinic,fev1_fvc,Irrespective of disease status,same_day,V3,108,70.14,10.44,1,0.15,FEV1/FVC
Clinic,fev1_fvc,Irrespective of disease status,same_day,V4,69,66.01,11.84,1.43,0.18,FEV1/FVC
Clinic,fev1_fvc,Irrespective of disease status,same_day,V5,44,70.59,9.24,1.39,0.13,FEV1/FVC
Home,fev1_fvc,Irrespective of disease status,same_day,V1,133,73.57,11.89,1.03,0.16,FEV1/FVC
Home,fev1_fvc,Irrespective of disease status,same_day,V2,141,73.65,11.49,0.97,0.16,FEV1/FVC
Home,fev1_fvc,Irrespective of disease status,same_day,V3,108,76.53,13.63,1.31,0.18,FEV1/FVC
Home,fev1_fvc,Irrespective of disease status,same_day,V4,69,71.97,14.08,1.7,0.2,FEV1/FVC
Home,fev1_fvc,Irrespective of disease status,same_day,V5,44,78.57,12.46,1.88,0.16,FEV1/FVC
Clinic,fev1pp,Irrespective of disease status,same_day,V1,133,85.98,28.38,2.46,0.33,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_day,V2,141,86.64,24.06,2.03,0.28,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_day,V3,108,83.81,22.03,2.12,0.26,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_day,V4,69,78.69,22.55,2.71,0.29,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_day,V5,44,84.99,23.55,3.55,0.28,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_day,V1,133,84.71,24.79,2.15,0.29,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_day,V2,141,87.02,26.73,2.25,0.31,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_day,V3,108,84.24,23.46,2.26,0.28,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_day,V4,69,82,27.54,3.32,0.34,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_day,V5,44,84.62,25.98,3.92,0.31,FEV1 % predicted
Clinic,fvc,Irrespective of disease status,same_day,V1,133,3.2,1.03,0.09,0.32,FVC (L)
Clinic,fvc,Irrespective of disease status,same_day,V2,141,3.32,1.02,0.09,0.31,FVC (L)
Clinic,fvc,Irrespective of disease status,same_day,V3,108,3.22,1,0.1,0.31,FVC (L)
Clinic,fvc,Irrespective of disease status,same_day,V4,69,3.27,1.14,0.14,0.35,FVC (L)
Clinic,fvc,Irrespective of disease status,same_day,V5,44,3.2,1,0.15,0.31,FVC (L)
Home,fvc,Irrespective of disease status,same_day,V1,133,3.06,1.01,0.09,0.33,FVC (L)
Home,fvc,Irrespective of disease status,same_day,V2,141,3.24,1.05,0.09,0.32,FVC (L)
Home,fvc,Irrespective of disease status,same_day,V3,108,3.16,0.92,0.09,0.29,FVC (L)
Home,fvc,Irrespective of disease status,same_day,V4,69,3.2,1.19,0.14,0.37,FVC (L)
Home,fvc,Irrespective of disease status,same_day,V5,44,3.09,1.05,0.16,0.34,FVC (L)
Clinic,fvcpp,Irrespective of disease status,same_day,V1,133,95.59,31.49,2.73,0.33,FVC % predicted
