week_num,n,mean,sd,se,lo,hi
0,257,0,0,0,0,0
1,210,0.028974193548387067,0.41767382956217297,0.0288222324819484,-0.027517382116231795,0.08546576921300593
2,192,-0.054456521739130445,0.5653074626191688,0.040797551964760176,-0.13441972359006038,0.025506680111799504
3,176,-0.01139423076923078,0.5059549160288607,0.038137786756897815,-0.0861442928127505,0.06335583127428894
4,184,0.02121698113207547,0.42054742113485916,0.03100316721401048,-0.03954922660738507,0.08198318887153602
5,176,0.013202020202020213,0.44649192647128616,0.033655595273368366,-0.05276294653378179,0.07916698693782222
6,168,-0.030380000000000008,0.45958146923988014,0.0354574801421068,-0.09987666107852933,0.03911666107852932
7,172,-0.04653571428571428,0.5274729646557522,0.04021943649955136,-0.12536580982483495,0.03229438125340639
8,151,0.08976470588235291,0.37722893163277355,0.030698455087732585,0.02959573391039705,0.14993367785430878
9,147,0.010752808988764052,0.38029672269578696,0.031366345031477866,-0.05072522727293256,0.07223084525046067
10,146,0.05804651162790698,0.41628346979309927,0.03445186509285949,-0.009479143954097623,0.12557216720991157
11,144,0.07992391304347828,0.39519229520717286,0.032932691267264405,0.01537583815964004,0.14447198792731653
12,141,0.026658536585365843,0.46538578764932237,0.03919255351059319,-0.050158868295396807,0.10347594146612848
13,137,0.08646987951807228,0.5006177972862546,0.04277066487008087,0.0026393763727137753,0.17030038266343078
14,146,0.08909876543209876,0.4287161533269499,0.03548080130323394,0.019556394877760244,0.15864113598643725
15,133,0.10084999999999998,0.4013499404304731,0.03480145346151749,0.03263915121542571,0.16906084878457425
16,133,0.07524999999999998,0.39757656694312166,0.034474260484555444,0.007680449450271312,0.14281955054972867
17,130,0.07069512195121953,0.4758784907942386,0.04173730465668133,-0.011109995175875867,0.15250023907831495
18,127,0.02473170731707317,0.3687011586831984,0.032716937318679966,-0.03939348982753957,0.0888569044616859
19,120,0.04783098591549292,0.48823975333891306,0.044569987729080156,-0.03952619003350418,0.13518816186449
20,132,0.06696202531645569,0.4537045927845499,0.03948991600413443,-0.010438210051647787,0.14436226068455915
21,123,0.036121951219512186,0.521533550410281,0.0470250965865247,-0.056047238090076223,0.1282911405291006
22,119,0.1308333333333333,0.4304032363812404,0.0394549999906761,0.05350153335160815,0.20816513331505845
23,127,0.02825301204819276,0.33537190289738356,0.029759444111126215,-0.030075498409614623,0.08658152250600014
24,124,0.08394936708860759,0.5280607457950215,0.04742125486849942,-0.008996292453651272,0.17689502663086645
25,137,0.017361702127659584,0.5168626999121841,0.04415856056581347,-0.06918907658133482,0.10391248083665398
26,115,0.08313253012048191,0.4627059006693692,0.04314754771753518,-0.001436663405887037,0.16770172364685088
27,117,0.029378378378378384,0.39535576843608905,0.03655065372171247,-0.04226090291617805,0.10101765967293481
28,114,0.10005333333333333,0.4160845448565333,0.038969888113105595,0.023672352631646368,0.1764343140350203
29,115,0.12028169014084504,0.41543255196408035,0.038739285220604894,0.04435269110845945,0.19621068917323065
30,111,0.08415942028985506,0.44982868056459285,0.04269584888766801,4.755564700257564e-4,0.16784328410968435
31,121,0.10881818181818183,0.43285392355707714,0.03935035668700701,0.031691482711648095,0.18594488092471556
32,106,0.04831506849315067,0.44986469807636886,0.04369472212151962,-0.03732658686502779,0.13395672385132912
33,108,0.10250000000000001,0.45489787833110956,0.04377256875137595,0.016705765247303148,0.18829423475269685
34,120,0.07021333333333332,0.44487393578264256,0.040611248312376336,-0.009384713358924296,0.14981138002559094
35,113,0.0652405063291139,0.402995298540683,0.03791060871976983,-0.009064286761634968,0.13954529941986277
36,114,0.02636363636363636,0.39756161088535796,0.037235056398478864,-0.04661707417738221,0.09934434690465493
37,110,0.06361643835616436,0.5089201429971599,0.048523631726130924,-0.031489879827052245,0.15872275653938095
38,108,0.07097368421052629,0.4335539020293928,0.041718743674147095,-0.010795053390802015,0.1527424218118546
39,98,0.11801612903225803,0.47527112165568397,0.048009633289267245,0.023917247785294235,0.2121150102792218
40,99,0.05780000000000001,0.583768045759615,0.058670896132838324,-0.057194956420363104,0.17279495642036313
41,99,0.1270769230769231,0.5310750684840936,0.053375052656788984,0.022461819869616678,0.2316920262842295
42,96,0.1348529411764706,0.459228368536649,0.04686979909689896,0.04298813494654864,0.22671774740639256
43,99,0.15712500000000001,0.48856804094599027,0.04910293564778313,0.06088324613034507,0.25336675386965496
44,97,0.09703174603174602,0.5987187925264428,0.06079068299851546,-0.02211799264534428,0.21618148470883633
45,102,0.13079710144927534,0.5111621585606823,0.05061259553615128,0.031596414198418826,0.22999778870013185
46,98,0.12854430379746837,0.4714530130615665,0.04762394607809481,0.03520136948440254,0.22188723811053418
47,98,0.03395652173913043,0.5021512964759025,0.050724940988532446,-0.06546436259839317,0.13337740607665402
48,84,0.13050724637681158,0.4734890402852502,0.05166188971045605,0.029249942544317717,0.23176455020930542
49,101,0.12256962025316455,0.4634553800762797,0.04611553391788039,0.03218317377411899,0.21295606673221013
50,92,0.1548142857142857,0.5259620941005557,0.054835338933804705,0.047337021404028484,0.26229155002454296
51,80,0.08960317460317459,0.4569940897367006,0.05109349249834507,-0.010540070693581746,0.1897464198999309
52,51,0.10489361702127656,0.5091143731602673,0.07129027172287267,-0.03483531555555386,0.24462254959810698
