name,type,intercept,slope,reg_p,sigma,mu_min,mu_max
fev1,± 7 days,0.132715363176123,-0.05955028815910552,4.05585148625153e-6,0.324833825797555,0.1005,5.48899479309705
fev1,Same day during stability,0.09686053325773583,-0.04126356264428329,0.021221245246852094,0.3255806017946752,0.6740665816758015,5.48899479309705
fev1,Same day during exacerbation,0.013370384087056217,-0.035186531306775265,0.54852499245028,0.2641345847601858,0.6619075044608189,3.5479807961942997
fev1,± 7 days during exacerbation,0.01063468163917268,-0.030882360857065052,0.49295172958345057,0.2663028467529403,0.334,3.5479807961942997
fvc,± 7 days,0.21018392863805216,-0.03408683742586991,0.016428025267103546,0.4618833660452687,0.1005,6.417501893939395
fvc,Same day during stability,0.0612404266460943,0.008936444977665468,0.666124083547473,0.4554766875511045,1.1098561085972851,6.417501893939395
fvc,Same day during exacerbation,0.2519108214205709,-0.06290364223258661,0.4448249481795552,0.45337725913774246,1.083729166666665,4.601636458333335
fvc,± 7 days during exacerbation,0.08732587897356907,-0.01387448947924746,0.8041202270338881,0.42114328992102695,0.8055,4.601636458333335
fev1pp,± 7 days,5.183472042447037,-0.07230894847971343,5.114342089474736e-4,16.897674824465017,4.801741869787662,180.17374140079073
fev1pp,Same day during stability,2.244934544732587,-0.030568808881143834,0.38069024540143837,17.819937920451085,34.76438922397243,180.17374140079073
fev1pp,Same day during exacerbation,1.1737321817166606,-0.03556424402857678,0.7118455536385078,13.561794575192293,33.57023995291091,129.68461295131607
fev1pp,± 7 days during exacerbation,-3.686273012081206,0.016986078582456446,0.8027951296430389,13.31668415193444,18.717747585607768,129.68461295131607
fvcpp,± 7 days,5.472875819994716,-0.03703908387074446,0.12988132101155384,19.82646841570557,3.7093851927731993,235.41716047479224
fvcpp,Same day during stability,-8.913535114962935,0.11597140095734479,0.01470601017202811,20.831536047632817,42.63900400921773,235.41716047479224
fvcpp,Same day during exacerbation,13.396479696247644,-0.12536643125473898,0.32778441018841953,16.728746819550878,41.84892652486664,127.50235857326189
fvcpp,± 7 days during exacerbation,-1.097648452524937,0.016651243066020248,0.8449321912910173,16.389982363097467,32.631768216656035,127.50235857326189
fev1_fvc,± 7 days,-0.6046723127563193,-0.07711984512773112,6.611795943598435e-5,10.254773104587322,15.5,92.95884770091314
fev1_fvc,Same day during stability,9.943264283469134,-0.2076568734895716,1.2248201022585236e-5,10.657767244128268,34.795452512958605,92.95884770091314
fev1_fvc,Same day during exacerbation,-6.174744463031618,-0.0340640384282755,0.8727212879773407,10.391184699097588,57.48389507748075,88.25681268016919
fev1_fvc,± 7 days during exacerbation,2.7541934607232044,-0.15259375911415346,0.017251330530567842,8.793047455290075,21.5,88.25681268016919
fef2575,± 7 days,-6.8582358001782895,-0.08552555124588307,2.9693804681266273e-5,33.75384967340047,6.9,348.8669512989525
fef2575,Same day during stability,-9.94662559192727,-0.047484912069228336,0.049889508390323786,33.0639869094585,14.2308581862194,348.8669512989525
fef2575,Same day during exacerbation,-32.69882672588651,0.13911621867250423,0.08587139957338931,25.64965809367594,16.81502352965346,230.48323168437702
fef2575,± 7 days during exacerbation,-19.841959909956717,0.03234280258663962,0.640772541494276,26.55581034256063,8,230.48323168437702
pef,± 7 days,7.092235746029026,-0.06798027399309799,2.55677739314522e-5,61.827805671219124,28.55,809.25
pef,Same day during stability,5.2740129523826775,-0.0541785379575089,0.01579611152535383,61.69412788831685,76.85,809.25
pef,Same day during exacerbation,-29.21468935766167,0.02300436224518847,0.7805844389461991,58.99569192136446,68.5,548.05
pef,± 7 days during exacerbation,-13.819448939722177,-0.018580298431309497,0.7747166494014921,60.09064016267466,61.75,548.05
