measure,n_subj,n_pex,n_drop_start,n_rec,n_notrec,n_subj_drop,n_subj_rec,n_subj_notrec,med_time,min_time,max_time
fef2575,114,190,172,2,170,108,3,105,21,21,21
fev1,114,190,97,31,66,74,30,44,33.5,16,43
fev1_fvc,114,190,157,17,140,103,18,85,28.5,16,42
fev1pp,114,190,173,2,171,110,3,107,27.5,21,34
fvc,114,190,122,29,93,86,29,57,35,19,56
fvcpp,114,190,172,2,170,109,3,106,52.5,49,56
pef,114,190,175,0,175,110,1,109,NA,Inf,-Inf
