measure,n_subj,n_pex,n_drop_start,n_rec,n_notrec,n_subj_drop,n_subj_rec,n_subj_notrec,med_time,min_time,max_time
fef2575,114,190,139,16,123,94,16,78,35,21,55
fev1,114,190,103,39,64,76,36,40,32,16,74
fev1_fvc,114,190,90,40,50,67,33,34,35,16,107
fev1pp,114,190,103,39,64,76,36,40,32,16,74
fvc,114,190,102,27,75,71,28,43,35,16,56
fvcpp,114,190,102,27,75,71,28,43,35,16,56
pef,114,190,125,37,88,85,34,51,28,18,49
