measure,n_subj,n_pex,n_drop_start,n_rec,n_notrec,n_subj_drop,n_subj_rec,n_subj_notrec,med_time,min_time,max_time
fef2575,118,195,167,1,166,109,2,107,43,43,43
fev1,118,195,94,33,61,77,31,46,35,21,61
fev1_fvc,118,195,151,14,137,104,14,90,36,28,37
fev1pp,118,195,168,2,166,110,3,107,NA,Inf,-Inf
fvc,118,195,111,32,79,89,32,57,35.5,26,91
fvcpp,118,195,162,3,159,107,4,103,49,42,56
pef,118,195,169,0,169,111,1,110,NA,Inf,-Inf
